ID,Canonical Name,Aliases
S02033,Wilmington (DE),"Wilmington Delaware, Wilmington, Wilmington (Del.), "
S02034,Wilmington (OH),"Willington, Ohio, Wilmington, OH, Wilmington OH, Wilm'ton,OH, Wilmington (Ohio), "
S02035,Winchester,
S02036,Windsor,
S02037,Wingate,
S02038,Winona St.,"Winona St, Winona State, "
S02039,Winston-Salem,"Winston-Slm, Winston-Salem State, Winston Salem State, Winstom-Salem State, Winston-Salem St., W Salem St, "
S02040,Winthrop,
S02041,Wis.-Eau Claire,"Wisc-Eau Claire, Wisconsin-Eau Claire, UW Eau Claire, Wis-Eau Claire, WI Eau Claire, "
S02042,Wis.-Green Bay,"Wisconsin GB, Wisconsin Green Bay, Wisc Green Bay, WI Green Bay, UW-Green Bay, Green Bay, "
S02043,Wis.-LaCrosse,"Wisc-LaCrosse, Wisconsin-LaCrosse, UW La Crosse, Wis-La Crosse, Wisconsin-La Crosse, WI LaCrosse, "
S02044,Wis.-Milwaukee,"Wisc-Milwaukee, Wisconsin-Milwaukee, WI Milwaukee, UW-Milwaukee, Milwaukee, "
S02045,Wis.-Oshkosh,"Wisc-Oshkosh, Wisconsin-Oshkosh, UW Oshkosh, Wis-Oshkosh, WI Oshkosh, "
S02046,Wis.-Parkside,"Wisconsin-Parkside, UW-Parkside, WI Parkside, "
S02047,Wis.-Platteville,"Wisc-Platteville, Wisconsin-Platteville, Wisc-Plattevle, Wisc-Platteville, UW Platteville, Wis-Platteville, Platteville, WI Platteville, "
S02048,Wis.-Riv. Falls,"Wisc-River Falls, Wisconsin-River Falls, River Falls, UW River Falls, Wis-River Falls, UW-RiversFalls, WI River Falls, "
S02049,Wis.-Stevens Pt.,"Wisc-Stevens Pt., Wisconsin-Stevens Point, UW Stevens Point, Wis-Stevens Pt, Wisconsin-Stevens Pt., Wis.-Stevens Point, WVU-Tech, WI Stevens Pt, "
S02050,Wis.-Stout,"Wisc-Stout, Wisconsin-Stout, UW Stout, Wis-Stout, WI Stout, "
S02051,Wis.-Superior,"UW-Superior, Wisconsin-Superior, WI Superior, "
S02052,Wis.-Whitewater,"Wisc-Whitewater, Wisconsin-Whitewater, UW Whitewater, Wis-Whitewater, WI Whitewater, "
S02053,Wisc. Lutheran,"Wisconsin Lutheran, WI-Lutheran, Wis Lutheran, "
S02054,Wisconsin Alumni,
S02055,Wisconsin Frosh,"Wisconsin Freshmen, "
S02056,Wisconsin,"Wis.-Madison, "
S02057,WissahickonBrrcks,"Wissahickon Barracks, "
S02058,Wittenberg,"Wittenburg, "
S02059,Wm. Paterson,"William Paterson, Wm Paterson, William Patterson, "
S02060,Wofford,
S02061,Wooster,
S02062,Worcester A.C.,
S02063,Worcester Academy,
S02064,Worcester St.,"Worcester St, Worcester State, "
S02065,Worcester Tech,"Worcester Polytech, WPI, Worcester Poly, Worchester Tech, "
S02066,Wright State,"Wright St., "
S02067,Wyoming Alumni,
S02068,Wyoming Faculty,
S02069,Wyoming Seminary,
S02070,Wyoming,
S02071,Xavier (LA),"Xavier (N.O), Xavier-New Orleans, "
S02072,Xavier,"Xavier (OHIO), Xavier (OH), "
S02073,YMI,
S02074,Yale Alumni,
S02075,Yale Consolidated,
S02076,Yale,
S02077,Yeshiva,
S02078,York (NE),"York, "
S02079,York (NY),
S02080,York (PA),"York (Pa.), York (Penn.), "
S02081,Youngstown St.,"Youngstown State, Youngstown St, Youngstwn St, "
S02082,Yuma Field,
S02083,Oakwood,
S02084,Utah Valley,"UT Val St., Utah Valley St., Utah Valley State, Utah Val St, "
S02085,LSU Shreveport,"Louisiana State-Shreveport, Louisiana St.-Shreveport, "
S02086,PSU-Mckeesport,"Penn State-Mckeesport, "
S02087,Crossroads,"Crossroads College, "
S02088,SW Arizona,"Southwestern (Ariz.), Southwestern AZ, S'western (Ariz.), "
S02089,Si Tanka,"Si-Tanka Huron, "
S02090,PSU-Berks,"Penn St.-Berks, Penn State-Berks, "
S02091,Waldorf,"Waldorf College, Waldorf (Iowa), "
